model,kfold,data,RMSE,Recall,NDCG
UCF_s,0,douban,0.7171,0.7335,0.9602
UCF_p,0,douban,0.7271,0.7288,0.9593
ICF_s,0,douban,0.7102,0.7406,0.9612
ICF_p,0,douban,0.7227,0.7271,0.9596
NMF,0,douban,1.101,0.7776,0.9436
UCF_s,1,douban,0.7134,0.7328,0.9605
UCF_p,1,douban,0.7248,0.728,0.9593
ICF_s,1,douban,0.7076,0.7409,0.9607
ICF_p,1,douban,0.7204,0.7281,0.9596
NMF,1,douban,1.0982,0.7795,0.9438
UCF_s,2,douban,0.713,0.7375,0.9606
UCF_p,2,douban,0.7244,0.7299,0.9594
ICF_s,2,douban,0.7064,0.7419,0.9611
ICF_p,2,douban,0.7199,0.7305,0.9594
NMF,2,douban,1.0947,0.7829,0.9442
UCF_s,3,douban,0.7131,0.7316,0.96
UCF_p,3,douban,0.7236,0.7281,0.9595
ICF_s,3,douban,0.7063,0.7399,0.9608
ICF_p,3,douban,0.7195,0.7287,0.9595
NMF,3,douban,1.0967,0.7807,0.9439
UCF_s,4,douban,0.7101,0.7326,0.9604
UCF_p,4,douban,0.7221,0.7277,0.9592
ICF_s,4,douban,0.7042,0.7412,0.9611
ICF_p,4,douban,0.7172,0.7263,0.9597
NMF,4,douban,1.0941,0.7787,0.944
UCF_s,0,movie_len,0.9587,0.5107,0.9131
UCF_p,0,movie_len,0.9543,0.5234,0.9128
ICF_s,0,movie_len,0.9469,0.546,0.9156
ICF_p,0,movie_len,0.944,0.5547,0.9168
NMF,0,movie_len,1.3127,0.6809,0.9001
UCF_s,1,movie_len,0.9554,0.5054,0.9136
UCF_p,1,movie_len,0.9488,0.5245,0.913
ICF_s,1,movie_len,0.9441,0.5439,0.9165
ICF_p,1,movie_len,0.9427,0.5507,0.9164
NMF,1,movie_len,1.2985,0.6757,0.9012
UCF_s,2,movie_len,0.9537,0.5136,0.9157
UCF_p,2,movie_len,0.95,0.5257,0.9166
ICF_s,2,movie_len,0.9386,0.5463,0.9174
ICF_p,2,movie_len,0.9369,0.5544,0.9179
NMF,2,movie_len,1.294,0.6867,0.904
UCF_s,3,movie_len,0.9547,0.5069,0.9138
UCF_p,3,movie_len,0.949,0.5225,0.9134
ICF_s,3,movie_len,0.9445,0.5418,0.9166
ICF_p,3,movie_len,0.9421,0.5612,0.9176
NMF,3,movie_len,1.2962,0.6757,0.8984
UCF_s,4,movie_len,0.9593,0.4956,0.9142
UCF_p,4,movie_len,0.955,0.5146,0.9153
ICF_s,4,movie_len,0.9472,0.5358,0.9165
ICF_p,4,movie_len,0.9446,0.5479,0.9173
NMF,4,movie_len,1.3066,0.679,0.9012
UCF_s,0,yelp,1.0823,0.6392,0.9619
UCF_p,0,yelp,1.1398,0.6173,0.9571
ICF_s,0,yelp,1.085,0.6438,0.9636
ICF_p,0,yelp,1.1391,0.6372,0.9601
NMF,0,yelp,1.3227,0.7874,0.9599
UCF_s,1,yelp,1.0746,0.6415,0.9628
UCF_p,1,yelp,1.1275,0.6167,0.9576
ICF_s,1,yelp,1.0826,0.6536,0.9636
ICF_p,1,yelp,1.139,0.6363,0.9611
NMF,1,yelp,1.3183,0.7863,0.9596
UCF_s,2,yelp,1.0872,0.6418,0.9619
UCF_p,2,yelp,1.1412,0.625,0.9561
ICF_s,2,yelp,1.0858,0.6492,0.9632
ICF_p,2,yelp,1.1396,0.6454,0.9601
NMF,2,yelp,1.3225,0.7878,0.9593
UCF_s,3,yelp,1.0821,0.6329,0.9631
UCF_p,3,yelp,1.1309,0.6208,0.9572
ICF_s,3,yelp,1.0842,0.6469,0.9637
ICF_p,3,yelp,1.1378,0.6375,0.9617
NMF,3,yelp,1.3222,0.7856,0.9609
UCF_s,4,yelp,1.0851,0.6371,0.9615
UCF_p,4,yelp,1.1363,0.6144,0.9561
ICF_s,4,yelp,1.0844,0.6464,0.9626
ICF_p,4,yelp,1.138,0.6315,0.9611
NMF,4,yelp,1.3277,0.7809,0.9596
